Year,Name,College,POS,Height,Weight,Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2017,Jalen Robinette,Air Force,WR,74.75,220,10.88,32.38,,4.62,13,31.5,120,4.46,6.77,
2017,Cam Robinson,Alabama,OT,77.75,322,10.5,35.5,16,5.15,,26,106,4.82,7.81,
2017,Isaac Rochell,Notre Dame,DT,76.38,280,9.75,32.75,,4.89,25,31.5,114,,,
2017,Darreus Rogers,Southern California,WR,72.63,216,10.13,32,,,8,26.5,112,4.54,7.22,11.39
2017,Sam Rogers,Virginia Tech,FB,70.25,231,9.75,30.25,,4.93,19,32,114,4.34,7.27,
2017,Fred Ross,Mississippi State,WR,72.63,213,9.25,31.25,,4.51,10,35,113,4.28,6.99,
2017,John Ross,Washington,WR,70.75,188,8.75,31.5,16,4.22,,37,133,4.33,,
2017,Chase Roullier,Wyoming,C,75.75,312,9.5,32.25,31,5.54,19,26.5,97,4.47,7.6,
2017,Travis Rudolph,Florida State,WR,72.25,189,9.25,31.88,,4.65,12,31.5,114,4.46,6.93,
2017,Cooper Rush,Central Michigan,QB,74.63,228,9.13,32.38,,4.93,,27,105,4.47,7.23,
